File_num,Category,Internal_load,Cal_Point_number,Cal_Point,Run_date
20200730_2327_10,Standard,12,6,Cal_pt_6,7/31/2020
20200731_0304_5,Standard,12,5,Cal_pt_5,7/31/2020
20200731_0453_.5,Standard,12,2,Cal_pt_2,7/31/2020
20200731_0641_2.5,Standard,12,4,Cal_pt_4,7/31/2020
20200731_0830_1,Standard,12,3,Cal_pt_3,7/31/2020
20200806_2240_10,Standard,12,6,Cal_pt_6,8/7/2020
20200807_0218_5,Standard,12,5,Cal_pt_5,8/7/2020
20200807_0406_.5,Standard,12,2,Cal_pt_2,8/7/2020
20200807_0555_2.5,Standard,12,4,Cal_pt_4,8/7/2020
20200807_0744_1,Standard,12,3,Cal_pt_3,8/7/2020
