cpnd,slope.avg,d_alkane_RTI,inverse_slope,Category,Correction Factor,Corrected_inverse_slope,,,,,,,,,,,
Benzothiazole,0.012981525,1246,77.03254954,Misc,53.29648412,1.445358935,,,,,,,,,,,
Quinoline,0.004050789,1256,246.8655142,Arom,56.53559078,4.366550535,,,,,,,,,,,
C8 acid,0.008347928,1269,119.7901972,Acid,61.04250136,1.962406431,,,,,,,,,,,
maltol,0.032407832,1287,30.85673852,Alcohol,67.88196344,0.454564614,,,,,,,,,,,
"Citronellol, TMS",0.040828683,1317,24.49258541,Alcohol,81.02602222,0.302280486,,,,,,,,,,,
triacetin,0.008958079,1351,111.6310785,Misc,99.02480409,1.127304209,,,,,,,,,,,
C9 acid,0.006523033,1375,153.3029213,Acid,114.0880325,1.343724823,,,,,,,,,,,
resorcinol,0.001299979,1398,769.2433631,Cat,130.6693864,5.886944022,,,,,,,,,,,
syringol,0.004741612,1418,210.898745,Alcohol,147.0349576,1.434344244,,,,,,,,,,,
hydroquinone,0.001056342,1419,946.6634753,Arom,147.905028,6.40048204,,,,,,,,,,,
ionone,0.034157634,1447,29.27603204,Ketone,174.4730634,0.167796859,,,,,,,,,,,
"dimethyl Glutaric Acid, TMS",0.005411493,1456,184.7918997,Acid,183.9879682,1.004369479,,,,,,,,,,,
C10 carboxylic acid,0.011472129,1479,87.16778129,Acid,210.7284558,0.413649789,,,,,,,,,,,
"Malic acid, 3TMS derivative",0.007866984,1510,127.1135133,Acid,253.0204625,0.502384321,,,,,,,,,,,
threitol,0.001954073,1521,511.7515206,Alcohol,269.98607,1.895473795,,,,,,,,,,,
3-5-dimethoxyphenol,0.003292623,1525,303.7091878,Alcohol,276.4335219,1.098669892,,,,,,,,,,,
ketopinic acid,0.004550581,1529,219.7521432,Acid,283.0349434,0.776413472,,,,,,,,,,,
erythreitol,0.001569201,1529,637.2670625,Alcohol,283.0349434,2.251549066,,,,,,,,,,,
tridecanal,0.018434965,1537,54.24474722,Aldehyde,296.7144905,0.182817992,,,,,,,,,,,
p-anisic acid (4-methozybenzoic acid),0.004609784,1544,216.9299127,Acid,309.2253704,0.701526891,,,,,,,,,,,
pinonic acid,0.009135866,1549,109.4587038,Acid,318.4834034,0.343687309,,,,,,,,,,,
vanillin,0.00352677,1557,283.5456065,Aldehyde,333.8762332,0.84925364,,,,,,,,,,,
phthalimide,0.003101092,1592,322.4670517,Misc,410.4566683,0.78562995,,,,,,,,,,,
DEET,0.001711835,1599,584.1684892,Amide,427.7634539,1.365634403,,,,,,,,,,,
Me-OH-glutatric acid,0.005203242,1623,192.1878683,Acid,492.8329955,0.389965506,,,,,,,,,,,
C16,0.015139149,1627,66.05391154,Alkane,504.6021844,0.130902944,,,,,,,,,,,
"2-Ketoglutaric acid, tri-TMS",0.086875806,1629,11.51068456,Acid,510.5917591,0.022543812,,,,,,,,,,,
2-(methylmercapto)benzothiazole,0.00830603,1637,120.3944643,Misc,535.2695036,0.224923078,,,,,,,,,,,
4-hydroxybenzoic acid,0.002632835,1651,379.8187183,Acid,581.3601039,0.653327801,,,,,,,,,,,
"Tartaric acid, 4TMS",0.000375071,1659,2666.160501,Acid,609.4581996,4.374640465,,,,,,,,,,,
benzophenone,0.000583871,1662,1712.707846,Arom,620.3416441,2.760910641,,,,,,,,,,,
galactosan,0.002803721,1684,356.6688397,Sugar,706.3213932,0.50496678,,,,,,,,,,,
pinic acid 1,0.001355093,1692,737.9567598,Acid,740.4590747,0.99662059,,,,,,,,,,,
pinic acid 2,0.00142248,1697,702.9974566,Acid,762.6280014,0.921809133,,,,,,,,,,,
mannosan,0.001908734,1706,523.9074711,Sugar,804.2179907,0.651449579,,,,,,,,,,,
gamma dodecalactone,0.000735456,1708,1359.700976,Sugar,813.7639735,1.670878805,,,,,,,,,,,
phthalic acid,0.002351553,1714,425.2508756,Acid,843.0871767,0.504397276,,,,,,,,,,,
syringaldehyde,0.000478932,1725,2087.977001,Aldehyde,899.6181226,2.320959247,,,,,,,,,,,
pentadecanone,0.000735458,1727,1359.697667,Ketone,910.296495,1.49368659,,,,,,,,,,,
levoglucosan,0.001003799,1727,996.215808,Sugar,910.296495,1.094386075,,,,,,,,,,,
C17,0.005191467,1729,192.6237645,Alkane,921.1016185,0.209123251,,,,,,,,,,,
arabitol,0.000995596,1744,1004.423717,Alcohol,1006.335068,0.998100681,,,,,,,,,,,
Tricarballylic acid,0.000268683,1757,3721.851961,Acid,1086.5582,3.425359046,,,,,,,,LRI,Early,Late,dif
4-nitrocatechol,0.000838536,1770,1192.554087,Misc,1173.176569,1.016517137,,,,,,,,1880,2245.021473,2541.12,296.0985267
C13 acid,0.000432481,1776,2312.241414,Acid,1215.45086,1.902373424,,,,,,,,1890,2381.463194,2528.11,146.6468062
MBTCA,0.000318803,1776,3136.729785,Acid,1215.45086,2.580712959,,,,,,,,1895,2452.762857,2521.605,68.84214255
9H-Florenone,0.000220035,1776,4544.735673,Ketone,1215.45086,3.739135676,,,,,,,,1896,2467.276933,2520.304,53.02706727
vanillic acid,0.000289224,1789,3457.531393,Acid,1312.344308,2.634622158,,,,,,,,1897,2481.876894,2519.003,37.12610583
Farnesol,0.003722418,1804,268.6425612,Alcohol,1433.781108,0.187366509,,,,,,,,1898,2496.56325,2517.702,21.13875001
C9 Diacid (azelaic acid),0.00028225,1822,3542.960206,Acid,1594.428056,2.222088475,,,,,,,,1899,2511.336511,2516.401,5.064488566
C18,0.000529364,1831,1889.058315,Alkane,1681.380338,1.123516358,,,,,,,,1899.1,2512.818637,2516.2709,3.45226284
Pyrocatechoic acid,0.00015593,1846,6413.137456,Cat,1836.965611,3.491158145,,,,,,,,1899.2,2514.301638,2516.1408,1.839162402
xanthone,0.00086674,1905,1153.748602,Ketone,2508.595,0.459918242,,,,,,,,1899.3,2515.785513,2516.0107,0.225186736
dodecyl benzene,0.000476509,1920,2098.59469,Arom,2489.08,0.843120627,,,,,,,,1899.4,2517.270265,2515.8806,-1.389664676
C10 diacid (sebacic acid),0.000379555,1923,2634.664792,Acid,2485.177,1.060151769,,,,,,,,,,,
syringic acid,0.000298967,1926,3344.847133,Acid,2481.274,1.348036184,,,,,,,,,,,
C19,0.000358259,1934,2791.277491,Alkane,2470.866,1.129675786,,,,,,,,,,,
DPPA,0.001335123,1954,748.9947822,Misc,2444.846,0.30635663,,,,,,,,,,,
FAME16 (Methyl Palmitate),0.000384842,1958,2598.469278,Acid,2439.642,1.065102699,,,,,,,,,,,
Hexadecanol,0.000379638,1992,2634.090191,Alcohol,2395.408,1.09964156,,,,,,,,,,,
4-Bromodiphenylamine,0.000427612,1993,2338.570081,Misc,2394.107,0.976802658,,,,,,,,,,,
2-mercaptobenzothiazole,0.010646602,2000,93.92668141,Misc,2385,0.039382256,,,,,,,,,,,
anthraquinone,0.000856076,2017,1168.120116,Arom,2362.883,0.494362233,,,,,,,,,,,
"Benzothiazole, 2-phenyl-",0.000414294,2024,2413.746287,Misc,2353.776,1.025478332,,,,,,,,,,,
octadecanone,0.000474158,2032,2109.000082,Ketone,2343.368,0.899986721,,,,,,,,,,,
sinapinaldehyde,0.001054469,2033,948.3442899,Aldehyde,2342.067,0.40491766,,,,,,,,,,,
C20,0.000366462,2035,2728.799389,Alkane,2339.465,1.166420267,,,,,,,,,,,
"homosalate, TMS",0.000349361,2055,2862.371753,Misc,2313.445,1.237276768,,,,,,,,,,,
DL-B-hydroxymyristic acid,0.000306926,2058,3258.119156,Acid,2309.542,1.410720894,,,,,,,,,,,
C16 Acid,0.000336967,2079,2967.647631,Acid,2282.221,1.300333154,,,,,,,,,,,
C12 diacid,0.000437077,2120,2287.926954,Acid,2228.88,1.02649176,,,,,,,,,,,
trans ferulic acid,0.000361043,2124,2769.755702,Acid,2223.676,1.245575211,,,,,,,,,,,
C21,0.000361099,2136,2769.320789,Alkane,2208.064,1.254185019,,,,,,,,,,,
