,Compound.Name,slope.avg,d_alkane_RTI,inverse_slope,Category
1,"12-OH C18 Acid, TMS",0.001661964,2471,601.6977657,Acid
2,"16-OH C16 Acid, TMS",0.002604894,2430,383.8927587,Acid
3,2-(methylmercapto)benzothiazole,0.08521056,1637,11.73563461,Misc
4,"2-Ketoglutaric acid, tri-TMS",0.142289553,1629,7.027922854,Acid
5,2-mercaptobenzothiazole,0.010164477,2000,98.38184642,Misc
6,3-5-dimethoxyphenol,0.041960157,1525,23.83213199,Alcohol
7,4-Benzoylbenzoic acid,0.000325053,2242,3076.423438,Acid
8,4-Bromodiphenylamine,0.000428558,1993,2333.407788,Misc
9,4-hydroxybenzoic acid,0.022732817,1651,43.98926887,Acid
10,4-nitrocatechol,0.000696079,1770,1436.617568,Misc
11,"4, 4 dimethoxy-benzophenone",0.000781783,2292,1279.126523,Ketone
12,9H-Florenone,0.000182797,1776,5470.541141,Ketone
13,a-Amyrin,0.001157019,3480,864.2901995,Alcohol
14,abietic acid,0.007488906,2468,133.5308491,Acid
15,anthraquinone,0.000820783,2017,1218.349439,Arom
16,arabitol,0.001236747,1744,808.5727606,Alcohol
17,benzophenone,0.004789526,1662,208.7889162,Arom
18,Benzothiazole,0.119184754,1246,8.390334857,Misc
19,"Benzothiazole, 2-phenyl-",0.000476804,2024,2097.2965,Misc
20,beta-sitosterol,0.004072217,3407,245.5664632,Sterol
21,C10 carboxylic acid,0.138468134,1479,7.221878193,Acid
22,C10 diacid (sebacic acid),0.00038317,1923,2609.810331,Acid
23,C12 diacid,0.000501998,2120,1992.041484,Acid
24,C13 acid,0.000462336,1776,2162.928296,Acid
25,C14 Diacid,0.000517764,2318,1931.381068,Acid
26,C16,0.182012374,1627,5.494131951,Alkane
27,C16 Acid,0.000387702,2079,2579.299173,Acid
28,C17,0.006609305,1729,151.3018476,Alkane
29,C17 acid,0.000968875,2177,1032.125243,Acid
30,C18,0.000528062,1831,1893.718151,Alkane
31,C18 Acid,0.000248886,2280,4017.89984,Acid
32,C19,0.00035999,1934,2777.856201,Alkane
33,C20,0.000421763,2035,2370.9976,Alkane
34,C21,0.00037897,2136,2638.731469,Alkane
35,C22,0.000453445,2238,2205.340279,Alkane
36,C22 acid,0.003039933,2683,328.954635,Acid
