BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,pentaerythritol-C13,,,,true,1525.8426966292136,1527.0,25,caice_ssi,0,960,960,98.06999969482422,,1,35.81368491390571,0.28708376925617723,5003.936017896136,66857.28132175506,,,0.0,0.0,1.0
2,"d-C15 alcohol, TMS",,,,true,1869.9300699300695,1869.0,4,caice_ssi,0,839,840,75.75,,2,46.535921929231954,0.31784274453362477,2761.590159666972,41814.888412715176,,,0.0,0.0,1.0
3,dC20,,,,true,2000.0,2000.0,14,caice_ssi,0,888,890,92.87999725341797,,3,50.17522135414197,0.3075897527744756,2243.4345329692587,36357.91727332016,,,0.0,0.0,1.0
4,dC22,,,,true,2200.0,2200.0,15,caice_ssi,0,879,880,75.18000030517578,,4,55.30154635052057,0.31784274453362477,1804.825463017667,32582.888768194265,,,0.0,0.0,1.0
5,dC24,,,,true,2400.0,2400.0,16,caice_ssi,0,917,917,78.12000274658203,,5,60.036548828091654,0.31784274453362477,1559.1440599209745,27023.26966918789,,,0.0,0.0,1.0
9,dC18,,,,true,1800.0,1800.0,13,caice_ssi,0,930,931,75.75,,9,44.579309335194324,0.2973367610153264,1184.2044493543217,13155.710809036898,,,0.0,0.0,1.0
7,dC26,,,,true,2600.0,2600.0,17,caice_ssi,0,920,921,78.12000274658203,,7,64.34109653497445,0.3383487280519232,1180.3560905450722,13002.346686277706,,,0.0,0.0,1.0
12,dC28,,,,true,2800.0,2800.0,18,caice_ssi,0,883,884,78.12000274658203,,12,68.41085073057273,0.35885471157022153,1016.8678954334464,11590.477172780198,,,0.0,0.0,1.0
11,"d-C22 acid, TMS",,,,true,2648.076923076923,2649.0,5,caice_ssi,0,857,861,79.98999786376953,,11,65.31940283199327,0.4613846291617134,1109.3217346682213,10443.33947543567,,,0.0,0.0,1.0
17,C16 Acid,,,,true,2079.3893129770995,2079.0,32,caice_sse,0,925,925,80.36000061035156,,3,52.21009845194111,0.4306256538842658,872.2110056125093,10292.810574280807,,,0.0,0.0,0.28309681483966037
19,d-C6diacid,,,,true,1524.7191011235955,1524.0,6,caice_ssi,0,925,925,97.66999816894531,,19,35.77455266202496,0.7279624148995922,766.1650809538551,10022.292899543036,,,0.0,0.0,1.0
8,C18 Acid,,,,true,2279.3388429752067,2280.0,34,caice_sse,0,933,933,86.37000274658203,,4,57.1798944407967,0.440878645643415,1176.5438433624804,9839.303153691855,,,0.0,0.0,0.3019776184884035
13,octadecanol,,,,true,2190.839694656489,2189.0,122,caice_sse,0,938,938,98.7699966430664,,4,55.06675283923605,0.3075897527744756,1014.9647309244028,9158.024733308508,,,0.0,0.0,0.28106853258045367
16,MBTCA,,,,true,1775.9493670886077,1776.0,45,caice_sse,0,934,934,98.97000122070312,,9,43.83579654946002,0.7074564313812939,835.5350135283225,9103.313897461743,,,0.0,0.0,0.6919667078124361
14,dC30,,,,true,3000.0,3000.0,19,caice_ssi,0,921,923,78.12000274658203,,14,72.167546911125,0.3691077033293707,923.3790557780303,8955.732109324157,,,0.0,0.0,1.0
18,dC34,,,,true,3400.0,3400.0,21,caice_ssi,0,926,927,76.91999816894531,,18,78.97655873837597,0.42037266212511665,810.1124790678732,8776.086007617163,,,0.0,0.0,1.0
23,dC36,,,,true,3600.0,3600.0,22,caice_ssi,0,924,924,78.12000274658203,,23,82.30280014823997,0.49214360443916094,652.018317540409,7907.534241509964,,,0.0,0.0,1.0
15,dC32,,,,true,3200.0,3200.0,20,caice_ssi,0,935,935,78.12000274658203,,15,75.68944958039273,0.3998666786068183,876.3142859849031,7786.619588795877,,,0.0,0.0,1.0
21,Pyrocatechoic acid,,,,true,1844.7552447552446,1846.0,86,caice_sse,0,934,937,80.63999938964844,,2,45.83154139537841,0.5639145467532053,737.4725684728328,7453.777639758754,,,0.0,0.0,0.17825654743328673
643,C34,,,,true,3100.000000000001,3461.0,1,caice_sse,0,0,924,2.630000114440918,,758,73.92849824575887,1.2406120028570515,188.6037382520226,6853.294859006287,,,0.0,0.0,19.749536311379572
20,vanillic acid,,,,true,1787.3417721518988,1789.0,91,caice_sse,0,929,930,82.63999938964844,,9,44.1879868163868,0.6254324973081004,740.0494089368731,6789.652063755127,,,0.0,0.0,0.5160992182262923
24,benzophenone,,,,true,1662.0253164556962,1662.0,51,caice_sse,0,957,957,78.12000274658203,,710,40.313893880192275,0.9125162665642776,629.3712244176422,6722.0856683931015,,,0.0,0.0,8.887854799003192
215,d-pyrene,,,,true,2164.8854961832058,2165.0,10,caice_ssi,0,922,922,78.73999786376953,,215,54.40150455726325,0.9432752418417252,396.4494518971769,6543.107402016983,,,0.0,0.0,1.0
629,C33,,,,true,3388.0952380952376,3362.0,25,caice_sse,0,91,932,24.209999084472656,,18,78.78089747897221,0.8920102830459792,247.5267086555832,6037.427628084518,,,0.0,0.0,0.6879407999015006
639,C34,,,,true,,3461.0,1,caice_sse,0,928,928,17.010000228881836,,23,82.61585816328598,0.88175729128683,204.8452616508148,5551.738072535979,,,0.0,0.0,0.7020820780506491
25,monopalmitin,,,,true,2628.846153846154,2629.0,120,caice_sse,0,912,913,65.77999877929688,,11,64.92808031318575,0.49214360443916094,593.5044989350135,5257.91134915731,,,0.0,0.0,0.5034703086617763
38,syringic acid,,,,true,1924.4755244755245,1926.0,113,caice_sse,0,932,934,84.02999877929688,,2,48.06207975258132,0.6151795055489512,511.47807400277816,5143.429638371271,,,0.0,0.0,0.12300474385116962
304,"Benzothiazole, 2-phenyl-",,,,true,2024.4274809160306,2024.0,99,caice_sse,0,964,964,96.70999908447266,,738,50.80133738423401,0.7279624148995922,377.9904615879059,5011.889139616086,,,0.0,0.0,10.775039772402996
273,d-cholesterol,,,,true,3200.0,3200.0,9,caice_ssi,0,834,838,98.29000091552734,,273,75.68944958039273,0.5946735220306528,383.54304057057016,4872.902664782488,,,0.0,0.0,1.0
517,d-cholestane,,,,true,2912.4999999999995,2912.0,8,caice_ssi,0,905,906,70.41999816894531,,517,70.52399233213337,0.5741675385123545,331.26199138668017,4786.441392384712,,,0.0,0.0,1.0
491,"homosalate, TMS",,,,true,2054.961832061069,2055.0,74,caice_sse,0,923,923,73.41999816894531,,3,51.583982421849065,0.6561914725855479,334.0071471985757,4408.0951160369095,,,0.0,0.0,0.12124168397488538
44,Me-OH-glutatric acid,,,,true,1622.7848101265824,1623.0,46,caice_sse,0,926,926,98.70999908447266,,710,39.10079407188894,0.5741675385123545,502.91554096341133,4365.736419645724,,,0.0,0.0,5.772320274193529
448,DL-B-hydroxymyristic acid,,,,true,2056.4885496183206,2058.0,79,caice_sse,0,896,896,98.1500015258789,,3,51.623114673729816,0.41011967036596747,342.9387700073421,4252.515003317549,,,0.0,0.0,0.11696255787561546
498,erythreitol,,,,true,1529.2134831460676,1529.0,130,caice_sse,0,944,944,95.36000061035156,,1,35.93108166954797,0.3075897527744756,335.76912348906626,4222.523292694549,,,0.0,0.0,0.06315726887507403
230,C20,,,,true,2035.1145038167936,2035.0,12,caice_sse,0,928,928,98.66000366210938,,3,51.07526314739927,0.28708376925617723,415.7539854666684,4058.182930555625,,,0.0,0.0,0.1116175852441791
248,20200803_1919_blob_660,,,,true,1277.0813187113108,1280.0,16,caice_ssa_fb_0803_1919,0,830,838,98.51000213623047,,751,27.16545724825936,1.0765641347106645,379.6336402626912,3938.15413310232,,,0.0,0.0,9.529724399834334
316,Dehydroabietic acid,,,,true,2429.090909090909,2430.0,81,caice_sse,0,917,917,76.33000183105469,,5,60.662664858183696,0.5536615549940561,384.2701863520924,3879.9010948929695,,,0.0,0.0,0.1435763008099963
77,Hexadecanol,,,,true,1990.20979020979,1992.0,44,caice_sse,0,932,932,98.05000305175781,,3,49.901295590976694,0.2973367610153264,492.6392673179507,3798.7295210674783,,,0.0,0.0,0.1044814941546453
294,monostearin,,,,true,2825.0,2827.0,59,caice_sse,0,903,904,67.11000061035156,,12,68.88043775314176,0.49214360443916094,390.82340281842517,3757.7770799804916,,,0.0,0.0,0.32421245682666894
298,3-5-dimethoxyphenol,,,,true,1525.8426966292136,1525.0,4,caice_sse,0,888,891,98.86000061035156,,19,35.81368491390571,0.6254324973081004,376.0955766523257,3748.6266549911397,,,0.0,0.0,0.37402884674843795
530,pinic acid 1,,,,true,1692.4050632911394,1692.0,104,caice_sse,0,935,935,68.47000122070312,,710,41.25306792533034,0.7074564313812939,322.8885719426835,3419.484058130049,,,0.0,0.0,4.521197630531116
641,C18,,,,true,1837.7622377622376,1831.0,64,caice_sse,0,804,862,98.5999984741211,,2,45.635880135974645,0.2973367610153264,212.79217363963835,3344.930055743791,,,0.0,0.0,0.07999375779098471
636,vanillic acid,,,,true,1833.5664335664335,1789.0,91,caice_sse,0,0,579,5.260000228881836,,2,45.51848338033239,0.8407453242502333,213.4334522174904,3247.6510988083064,,,0.0,0.0,0.077667338646317
627,C9 Diacid (azelaic acid),,,,true,1822.3776223776224,1822.0,39,caice_sse,0,911,913,98.08999633789062,,9,45.20542536528637,0.6766974561038464,253.47437434853055,3216.719528467782,,,0.0,0.0,0.24451126778023718
260,dodecyl benzene,,,,true,1920.2797202797199,1920.0,128,caice_sse,0,939,941,81.95999908447266,,2,47.94468299693905,0.3793606950885199,405.6704587813001,3192.576017388084,,,0.0,0.0,0.07635022209977434
638,DEET,,,,true,1598.876404494382,1599.0,41,caice_sse,0,925,925,98.20999908447266,,19,38.35728128615464,1.425165854521737,201.96233376627788,3149.513326964996,,,0.0,0.0,0.3142507765970996
337,C21,,,,true,2137.4045801526718,2136.0,13,caice_sse,0,914,914,75.18000030517578,,4,53.697124023409714,0.28708376925617723,395.48069510096684,3082.670060617971,,,0.0,0.0,0.0946100906690359
617,C7 acid,,,,true,1969.230769230769,,100,caice_sse,0,308,470,50.7599983215332,,738,49.3143118127654,0.6766974561038464,291.41144690592773,3072.5004912402146,,,0.0,0.0,6.605556122970634
398,C13 acid,,,,true,1775.9493670886077,1776.0,30,caice_sse,0,916,916,98.9800033569336,,9,43.83579654946002,0.4511316374025642,361.7139945587842,3044.5214161372287,,,0.0,0.0,0.23142203871233558
614,C19,,,,true,1934.2657342657342,1934.0,11,caice_sse,0,936,936,73.5199966430664,,2,48.336005515746585,0.27683077749702806,317.1310443401162,3038.0769226042976,,,0.0,0.0,0.07265538754087579
436,levoglucosan,,,,true,1726.5822784810125,1727.0,117,caice_sse,0,903,904,98.97000122070312,,9,42.30963872611066,0.5844205302715036,343.27456685322977,2979.0973817156428,,,0.0,0.0,0.2264489866765121
633,pentadecanone,,,,true,1726.5822784810125,1727.0,126,caice_sse,0,898,901,98.86000061035156,,9,42.30963872611066,0.6766974561038464,223.83900323032867,2975.117029937216,,,0.0,0.0,0.22614642972339843
621,C18,,,,true,1830.7692307692307,1831.0,64,caice_sse,0,924,924,71.41999816894531,,9,45.44021887657088,0.27683077749702806,286.89982165332185,2883.5100261952884,,,0.0,0.0,0.219183141682816
648,syringaldehyde,,,,true,1724.0506329113925,1725.0,112,caice_sse,0,927,927,98.25,,9,42.23137422234916,1.0355521676740678,174.85787918185815,2615.593189924958,,,0.0,0.0,0.1988180819639376
620,FAME16 (Methyl Palmitate),,,,true,1956.6433566433564,1958.0,42,caice_sse,0,924,924,74.62000274658203,,3,48.96212154583863,0.48189061268001177,280.1962848622352,2610.23656874086,,,0.0,0.0,0.0717927968513279
733,dC26,,,,true,2601.923076923076,2600.0,17,caice_ssi,0,627,678,79.98999786376953,,11,64.3802287868552,0.8202393407319349,33.614926622016355,2570.165376417137,,,0.0,0.0,0.2461057004287334
666,gamma dodecalactone,,,,true,1706.3291139240507,1708.0,132,caice_sse,0,933,933,69.44000244140625,,9,41.68352269601862,1.5584547473906762,122.88181272870861,2551.6196841744063,,,0.0,0.0,0.19395528840765122
635,threitol,,,,true,1521.3483146067417,1521.0,89,caice_sse,0,931,931,95.7300033569336,,1,35.657155906382705,0.3075897527744756,224.80041647446342,2531.989692780954,,,0.0,0.0,0.03787156227001794
618,Caffeic acid,,,,true,2169.4656488549617,2168.0,77,caice_sse,0,921,922,98.8499984741211,,215,54.51890131290552,0.6356854890672495,288.6444357793589,2515.173053181225,,,0.0,0.0,0.38440039245051916
644,d-anthraquinone,,,,true,2010.687022900763,2011.0,7,caice_ssi,0,907,908,98.63999938964844,,644,50.44914711730723,1.1585880687838581,187.4860164004058,2467.071303430427,,,0.0,0.0,1.0
626,C10 diacid (sebacic acid),,,,true,1921.6783216783215,1923.0,28,caice_sse,0,887,890,98.08999633789062,,2,47.98381524881981,0.6561914725855479,257.3961233183509,2419.6508215689587,,,0.0,0.0,0.05786577253744829
