BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio
1,MBTCA,,,,true,1777.2151898734176,1776.0,45,caice_sse,0,972,972,98.98999786376953,,90,43.854795014857935,0.717048840040335,4828.927102915244,97970.17219616481,,,0.0,0.0,12.001186253242313
3,octadecanol,,,,true,2190.839694656488,2189.0,122,caice_sse,0,977,977,98.73999786376953,,25,55.07541428008911,0.3277937554470103,4903.402324303155,77137.46760077564,,,0.0,0.0,2.089355033692065
2,Pyrocatechoic acid,,,,true,1845.833333333333,1846.0,86,caice_sse,0,978,979,80.63999938964844,,6,45.84870296791295,0.573639072032268,4881.708073027432,75744.9928290473,,,0.0,0.0,1.8155859242739882
7,syringic acid,,,,true,1924.9999999999998,1926.0,113,caice_sse,0,958,958,81.95999908447266,,6,48.07718832720973,0.6248568463208634,2998.1594834149582,51697.970702550345,,,0.0,0.0,1.239185646672666
23,"homosalate, TMS",,,,true,2054.961832061068,2055.0,74,caice_sse,0,944,944,84.05999755859375,,9,51.59584942083623,0.6760746206094588,2028.4389853167813,45026.84451727729,,,0.0,0.0,1.0433173560751796
9,dC20,,,,true,2000.0,2000.0,14,caice_ssi,0,896,898,91.55000305175781,,9,50.18838498338564,0.3073066457315721,2954.430432169989,43157.38088232545,,,0.0,0.0,1.0
5,C18 Acid,,,,true,2279.9999999999995,2280.0,34,caice_sse,0,972,972,96.0199966430664,,25,57.18661093626501,0.45071641373963917,3405.741063539681,42238.03672509129,,,0.0,0.0,1.1440647118671083
6,"d-C15 alcohol, TMS",,,,true,1869.4444444444441,1869.0,4,caice_ssi,0,861,861,75.18000030517578,,6,46.51333895226462,0.31755020058929123,3365.784828604199,41719.31045309024,,,0.0,0.0,1.0
4,vanillic acid,,,,true,1788.607594936709,1789.0,91,caice_sse,0,960,960,82.63999938964844,,90,44.20666112422059,0.6351004011785825,3675.942025627708,41344.15187279934,,,0.0,0.0,5.064591150399401
14,Dehydroabietic acid,,,,true,2430.6306306306305,2430.0,81,caice_sse,0,941,941,78.12000274658203,,32,60.66617579551789,0.573639072032268,2582.257916926639,41312.02882446602,,,0.0,0.0,1.1573727850603932
