Compound.Name,Cal_pt_1,Cal_pt_2,Cal_pt_3,Cal_pt_4,Cal_pt_5,Cal_pt_6,Check
xanthone,0,0.5,1,2.5,5,10,FALSE
vanillin,0,2,4,10,20,40,FALSE
vanillic acid,0,2,4,10,20,40,FALSE
tridecanal,0,2,4,10,20,40,FALSE
Tricarballylic acid,0,2,4,10,20,40,FALSE
triacetin,0,2,4,10,20,40,FALSE
trans ferulic acid,0,2,4,10,20,40,FALSE
threitol,0,2,4,10,20,40,FALSE
"Tartaric acid, 4TMS",0,2,4,10,20,40,FALSE
syringol,0,2,4,10,20,40,FALSE
syringic acid,0,2,4,10,20,40,FALSE
syringaldehyde,0,2,4,10,20,40,FALSE
Sugar 6,0,2,4,10,20,40,TRUE
Sugar 5,0,2,4,10,20,40,TRUE
Sugar 4,0,2,4,10,20,40,TRUE
Sugar 3,0,2,4,10,20,40,TRUE
Sugar 2,0,2,4,10,20,40,TRUE
Sugar 1,0,2,4,10,20,40,TRUE
stigmasterol,0,2,4,10,20,40,FALSE
squalene,0,2,4,10,20,40,FALSE
sinapinaldehyde,0,2,4,10,20,40,FALSE
resorcinol,0,2,4,10,20,40,FALSE
Quinoline,0,2,4,10,20,40,FALSE
Pyrocatechoic acid,0,2,4,10,20,40,FALSE
pyrene,0,0.5,1,2.5,5,10,FALSE
pinonic acid,0,4,8,20,40,80,FALSE
pinic acid 2,0,4,8,20,40,80,FALSE
pinic acid 1,0,4,8,20,40,80,FALSE
phthalimide,0,2,4,10,20,40,FALSE
phthalic acid,0,2,4,10,20,40,FALSE
perylene,0,0.5,1,2.5,5,10,FALSE
pentadecanone,0,2,4,10,20,40,FALSE
p-anisic acid (4-methozybenzoic acid),0,2,4,10,20,40,FALSE
"oleic Acid, TMS",0,2,4,10,20,40,FALSE
octadecanone,0,2,4,10,20,40,FALSE
octadecanol,0,2,4,10,20,40,FALSE
nonanenitrile,0,2,4,10,20,40,FALSE
monostearin,0,6,12,30,60,120,FALSE
monopalmitin,0,6,12,30,60,120,FALSE
Me-OH-glutatric acid,0,6,12,30,60,120,FALSE
MBTCA,0,4,8,20,40,80,FALSE
mannosan,0,2,4,10,20,40,FALSE
maltol,0,2,4,10,20,40,FALSE
"Malic acid, 3TMS derivative",0,2,4,10,20,40,FALSE
"linoleic Acid, TMS",0,2,4,10,20,40,FALSE
levoglucosan,0,2,4,10,20,40,FALSE
