BlobID,Compound.Name,Library.Name,Compound.Name_ES,Library.Match.Factor_ES,Library.Reverse.Match.Factor_ES,LRI.I,Library.RI_ES,Compound.Name_NISTmain,Library.Match.Factor_NISTmain,Library.Reverse.Match.Factor_NISTmain,Library.RI_NISTmain,Library.Formula_NISTmain,Formula_Underivitized_forMod,Cstar_Cat,Library.Molecular.Weight_NISTmain,Model_Quant,Model_Properties,Notes
936,20200803_1535_blob_936_,caice_ssa_final_0803_1535,"d-C10 acid, TMS",150,277,1475.706215,1467,"Ethanone, 1,1'-(1,4-phenylene)bis-",921,924,1461,C10H10O2,C10H10O2,,162,TRUE,FALSE,
654,20200803_1535_blob_654_,caice_ssa_final_0803_1535,"dimethyl Glutaric Acid, TMS",308,308,1455.367232,1456,"Ethanone, 1,1'-(1,4-phenylene)bis-",923,925,1461,C10H10O2,C10H10O2,,162,TRUE,FALSE,
1827,20200803_0949_blob_1827_,caice_ssa_final_0805_0949,benzophenone,0,449,1497.727273,1662,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,,C10H9NO2,C10H9NO2,,175,TRUE,FALSE,"kovats cant be cofnirmed, but in the right ballpark"
687,20200803_1535_blob_687_,caice_ssa_final_0803_1535,C7 acid,242,248,1470.056497,,"Quinoline, 2,4-dimethyl-",915,915,1454,C11H11N,C11H11N,,157,TRUE,FALSE,
876,20200803_1535_blob_876_,caice_ssa_final_0803_1535,Sugar 3,277,281,1616.455696,1618,"Benzothiazole, 2-butyl-",886,886,,C11H13NS,C11H13NS,,191,TRUE,FALSE,
43,20200803_1535_blob_43_,caice_ssa_final_0803_1535,vanillin,249,249,1554.80226,1557,"Benzothiazole, 2-butyl-",866,866,,C11H13NS,C11H13NS,,191,TRUE,FALSE,"Note- only one of the butyl BTZs is correct, check which one"
703,20200803_1535_blob_703_,caice_ssa_final_0803_1535,C7 acid,266,314,1500.564972,,"Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-",759,847,1432,C11H14O2,C11H14O2,,178,TRUE,FALSE,"match factor not amazing, but seems close enough"
1138,20200803_0949_blob_1138_,caice_ssa_final_0805_0949,benzophenone,109,443,1653.164557,1662,Diphenylamine,784,878,1621,C12H11N,C12H11N,,169,TRUE,FALSE,
651,20200803_1535_blob_651_,caice_ssa_final_0803_1535,C7 acid,254,290,1654.43038,,"Quinoline, 2,3,4-trimethyl-",887,927,1616,C12H13N,C12H13N,,171,TRUE,FALSE,
1393,20200803_0949_blob_1393_,caice_ssa_final_0805_0949,pinonic acid,104,390,1537.5,1549,"Quinoline, 2,4,6-trimethyl-",814,832,1532,C12H13N,C12H13N,,171,TRUE,FALSE,
843,20200803_1535_blob_843_,caice_ssa_final_0803_1535,C7 acid,279,296,1643.037975,,N-n-Butylphthalimide,832,840,,C12H13NO2,C12H13NO2,,203,TRUE,FALSE,"retention index could not be confirmed, but based on chem formula position is not unreasonable"
741,20200803_1535_blob_741_,caice_ssa_final_0803_1535,20200803_1919_blob_579,373,760,1612.658228,1614,Diethyl Phthalate,847,908,1594,C12H14O4,C12H14O4,,222,TRUE,FALSE,
398,20200803_1535_blob_398_,caice_ssa_final_0803_1535,pinonic acid,271,311,1555.932203,1549,"2-Butenedioic acid, dibutyl ester",904,912,,C12H20O4,C12H20O4,,228,TRUE,FALSE,
1421,20200803_1535_blob_1421_,caice_ssa_final_0803_1535,gamma dodecalactone,834,864,1707.594937,1708,τ-Dodecalactone,812,860,1678,C12H22O2,C12H22O2,,198,FALSE,FALSE,
549,20200803_1535_blob_549_,caice_ssa_final_0803_1535,benzophenone,0,466,1893.055556,1662,"Oxalic acid, 2-phenylethyl propyl ester",866,888,,C13H16O4,C13H16O4,,236,TRUE,FALSE,Note- no RI attached
2000,20200803_0949_blob_2000_,caice_ssa_final_0805_0949,triacetin,0,474,1511.363636,1351,"3-Buten-2-one, 4-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]hept-1-yl)-",753,813,1473,C13H20O2,C13H20O2,,208,TRUE,FALSE,"match factor not amazing, but seems close enough"
1540,20200803_1535_blob_1540_,caice_ssa_final_0803_1535,nonanenitrile,0,646,1677.21519,1202,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",776,857,1649,C13H22O3,C13H22O3,,226,TRUE,FALSE,"match factor not amazing, but seems close enough"
