BlobID,Compound Name,Description,Group Name,Constellation Name,Inclusion,LRI I,Library RI,Library ID,Library Name,Library NIST ID,Library Match Factor,Library Reverse Match Factor,Library Probability,Review Status,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Quantifier(1),Quantifier(2),Quantifier Response(1),Quantifier Response(2),Volume Ratio,Library Formula,Library Molecular Weight
1,"Cyclooctasiloxane, hexadecamethyl-",,lib,,true,1660.7594936708863,1704.0,234277,mainlib,153821,803,845,84.87999725341797,,0,40.51185427391262,0.30959154225627344,18066.088206682703,1085890.967715073,,,0.0,0.0,0.0,C16H48O8Si8,592
4,"Cyclononasiloxane, octadecamethyl-",,lib,,true,1811.1111111111113,1893.0,44296,mainlib,153822,741,867,64.01000213623047,,0,45.159511304384296,0.2889521061058552,12205.310040489305,469372.44938012416,,,0.0,0.0,0.0,C18H54O9Si9,666
2,Homosalate,,lib,,true,1927.777777777778,1904.0,124669,mainlib,291723,942,942,98.2300033569336,,0,48.46801291929634,0.6914211110390107,15461.000429539392,372004.7966612678,,,0.0,0.0,0.0,C16H22O3,262
5,"Homosalate, TMS derivative",fb,lib,,true,2054.961832061069,1998.0,181343,mainlib,373063,850,912,91.8499984741211,,0,51.93406223015657,0.5779042122117104,10340.838057610046,243827.76533207484,,,0.0,0.0,0.0,C19H30O3Si,334
6,Dibutyl phthalate,,lib,,true,1987.4999999999998,1965.0,138230,mainlib,114974,928,933,42.79999923706055,,0,50.1616506507394,0.8565366002423566,8583.376793553005,243626.21936353736,,,0.0,0.0,0.0,C16H22O4,278
3,"Cycloheptasiloxane, tetradecamethyl-",fb,lib,,true,1492.6553672316384,1502.0,43769,mainlib,153820,781,782,72.5,,0,34.87952414376473,0.25799295188022786,12946.960945904953,238724.87526955095,,,0.0,0.0,0.0,C14H42O7Si7,518
7,2-Ethylhexyl salicylate,,lib,,true,1837.5,1811.0,101819,mainlib,237295,912,915,96.26000213623047,,0,45.9078628601382,0.5882239302869195,5669.18310930091,67167.28003608526,,,0.0,0.0,0.0,C15H22O3,250
29,"Heptadecane, 2,3-dimethyl-",,lib,oil,true,2443.243243243243,,7823,mainlib,68909,862,884,11.260000228881836,,0,61.34753706306107,0.22703379765460052,944.2845129531343,57550.15057121175,,,0.0,0.0,0.0,C19H40,268
9,"1H-isoindole-1,3(2H)-dione, 2-(5-acetyl-8-methoxy-1-naphthalenyl)-",,lib,,true,1899.9999999999998,,231115,mainlib,398271,595,687,20.549999237060547,,0,47.68027443955537,1.0113323713704934,3087.177238948527,57260.81641231622,,,0.0,0.0,0.0,C21H15NO4,345
10,"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",,lib,,true,1959.7222222222222,,43294,mainlib,153848,794,822,73.38999938964844,,0,49.373912170998445,0.2889521061058552,2687.291538272286,52687.10355964127,,,0.0,0.0,0.0,C16H50O7Si8,578
