"","Compound.Name","slope.avg","d_alkane_RTI","inverse_slope","Category"
"1","12-OH C18 Acid, TMS",0.00166215020654402,2471,601.630343673466,"Acid"
"2","16-OH C16 Acid, TMS",0.00260533280570844,2430,383.828122767632,"Acid"
"3","2-(methylmercapto)benzothiazole",0.0638285837706852,1637,15.6669620556312,"Misc"
"4","2-Ketoglutaric acid, tri-TMS",0.48414458570178,1629,2.06549867443106,"Acid"
"5","2-mercaptobenzothiazole",0.00832379693457448,2000,120.137481471504,"Misc"
"6","3-5-dimethoxyphenol",0.0303753760798195,1525,32.9214030921701,"Alcohol"
"7","4-Benzoylbenzoic acid",0.000283855354737563,2242,3522.92103463944,"Acid"
"8","4-Bromodiphenylamine",0.00050537080216338,1993,1978.74510303963,"Misc"
"9","4-hydroxybenzoic acid",0.0170868872874733,1651,58.5244101617688,"Acid"
"10","4-nitrocatechol",0.000747573667978727,1770,1337.66081235014,"Misc"
"11","4, 4 dimethoxy-benzophenone",0.000781783492238932,2292,1279.12652278718,"Ketone"
"12","9H-Florenone",0.000203100828084525,1776,4923.66283993597,"Ketone"
"13","a-Amyrin",0.00175160255329791,3480,570.905767474021,"Alcohol"
"14","abietic acid",0.0126444677324716,2468,79.0859703356234,"Acid"
"15","anthraquinone",0.000662564079361059,2017,1509.28797855197,"Arom"
"16","arabitol",0.0010534937365366,1744,949.222539554474,"Alcohol"
"17","benzophenone",0.00116029783570686,1662,861.847681884881,"Arom"
"18","Benzothiazole",0.0850184368853867,1246,11.7621546176872,"Misc"
"19","Benzothiazole, 2-phenyl-",0.000454912345516692,2024,2198.2256798597,"Misc"
"20","beta-sitosterol",0.00411996092627098,3407,242.720748544844,"Sterol"
"21","C10 carboxylic acid",0.101119640275321,1479,9.8892756864767,"Acid"
"22","C10 diacid (sebacic acid)",0.000385977028669386,1923,2590.82775844819,"Acid"
"23","C12 diacid",0.000556432838837278,2120,1797.1620835492,"Acid"
"24","C13 acid",0.000407535178835961,1776,2453.77589943595,"Acid"
"25","C14 Diacid",0.000644265884975804,2318,1552.15420111459,"Acid"
"26","C16",0.126284154937082,1627,7.91864981397091,"Alkane"
"27","C16 Acid",0.000388476129239798,2079,2574.16073918591,"Acid"
"28","C17",0.00565624664979372,1729,176.795684826875,"Alkane"
"29","C17 acid",0.000968874665585379,2177,1032.12524335727,"Acid"
"30","C18",0.000530461908718446,1831,1885.14949624926,"Alkane"
"31","C18 Acid",0.000248886244003039,2280,4017.89984016871,"Acid"
"32","C19",0.000362741799779983,1934,2756.78182279114,"Alkane"
"33","C20",0.000421989795815514,2035,2369.72554766983,"Alkane"
"34","C21",0.000378969975448729,2136,2638.73146894005,"Alkane"
"35","C22",0.000453444762893942,2238,2205.34027919492,"Alkane"
"36","C22 acid",0.00304448920750498,2683,328.462323839052,"Acid"
"37","C23",0.000365574358390699,2342,2735.4216099896,"Alkane"
"38","C24",0.0011151414876568,2443,896.747194027602,"Alkane"
"39","C24 acid",0.00138523458165877,2888,721.899390356351,"Acid"
"40","C25",0.00155537750031772,2545,642.93073533321,"Alkane"
"41","C26",0.00260492162116123,2649,383.888709693391,"Alkane"
"42","C26 acid",0.0035640751082271,3091,280.577700983814,"Acid"
"43","C27",0.00223060257206414,2750,448.309354846043,"Alkane"
"44","C28",0.000877634494471636,2852,1139.42649964098,"Alkane"
"45","C28 acid",0.00405173107428474,3292,246.808088114913,"Acid"
"46","C29",0.00127987441193841,2954,781.326660391211,"Alkane"
"47","C30",0.0014113028841558,3058,708.565121793944,"Alkane"
"48","C31",0.00286027631412812,3160,349.616572028574,"Alkane"
"49","C32",0.00336232051870604,3261,297.413644664918,"Alkane"
"50","C33",0.00376378005803866,3362,265.690339121758,"Alkane"
"51","C34",0.00321143996286611,3461,311.386795818387,"Alkane"
"52","C35",0.00368465781817907,3565,271.395621885506,"Alkane"
"53","C8 acid",0.0521984943848046,1269,19.1576406903244,"Acid"
"54","C9 acid",0.0570526731463714,1375,17.527662506443,"Acid"
"55","C9 Diacid (azelaic acid)",0.000284511771076536,1822,3514.79306538424,"Acid"
"56","Caffeic acid",0.000474791849542239,2168,2106.18611284952,"Acid"
"57","cholesterol",0.00161595150634176,3209,618.83045133194,"Sterol"
"58","chrysene",0.00144798514379773,2527,690.614820382226,"Arom"
"59","cis-Vaccenic Acid, TMS",0.000671712437162156,2258,1488.73229774454,"Acid"
"60","Citronellol, TMS",0.356729897005897,1317,2.80324135541538,"Alcohol"
"61","DEET",0.00171353007080668,1599,583.590575407428,"Amide"
"62","Dehydroabietic acid",0.000684962333114065,2430,1459.93429369126,"Acid"
"63","dibenz(ah)anthracene",0.00563958500964618,3278,177.318011571695,"Arom"
"64","dimethyl Glutaric Acid, TMS",0.0783342892850178,1456,12.7658016575796,"Acid"
"65","DL-B-hydroxymyristic acid",0.000353621536374546,2058,2827.88206355403,"Acid"
"66","dodecyl benzene",0.000480372238630239,1920,2081.71896621557,"Arom"
"67","DPPA",0.00124643785980886,1954,802.286284976415,"Misc"
"68","eicosanol, TMS",0.000406423133385089,2392,2460.48986353465,"Alcohol"
"69","erythreitol",0.0141989045766859,1529,70.4279681998825,"Alcohol"
"70","FAME16 (Methyl Palmitate)",0.000388656793067651,1958,2572.9641623064,"Acid"
"71","FAME18 (Methyl Stearate)",0.000533546845860726,2161,1874.24967040483,"Acid"
"72","Farnesol",0.00407790498360224,1804,245.223957895322,"Alcohol"
"73","galactosan",0.00374337274644145,1684,267.138772367947,"Sugar"
"74","gamma dodecalactone",0.000638703686040878,1708,1565.67125234345,"Sugar"
"75","hexadecanamide",0.00141633682308581,2212,706.046742342879,"Amide"
"76","Hexadecanol",0.000363217309803126,1992,2753.17275088576,"Alcohol"
"77","homosalate, TMS",0.000336053632009576,2055,2975.71549523233,"Misc"
"78","hydroquinone",0.0174652300348963,1419,57.256617748633,"Arom"
"79","ionone",0.220027383631195,1447,4.54488883836467,"Ketone"
"80","isopimaric acid",0.00139355085873868,2383,717.591319849722,"Acid"
"81","ketopinic acid",0.00713219191327813,1529,140.209351088588,"Acid"
"82","levoglucosan",0.000947111642141823,1727,1055.84173555144,"Sugar"
"83","linoleic Acid, TMS",0.00120784181482871,2245,827.922984386673,"Acid"
"84","Malic acid, 3TMS derivative",0.0796613100353155,1510,12.5531453042472,"Acid"
"85","maltol",0.516884586267431,1287,1.93466786700157,"Alcohol"
"86","mannosan",0.00227255756733555,1706,440.032857417312,"Sugar"
"87","MBTCA",0.000300236946329259,1776,3330.70267409174,"Acid"
"88","Me-OH-glutatric acid",0.031997273849193,1623,31.2526624834704,"Acid"
"89","monopalmitin",0.00253179851720652,2629,394.976137794471,"Alcohol"
"90","monostearin",0.00294007656203568,2827,340.127196996397,"Alcohol"
"91","octadecanol",0.000158071312807459,2189,6326.25858695856,"Alcohol"
"92","octadecanone",0.000545188521295681,2032,1834.22790638259,"Ketone"
"93","oleic Acid, TMS",0.000488617059766172,2252,2046.59247976023,"Acid"
"94","p-anisic acid (4-methozybenzoic acid)",0.0312351191795658,1544,32.0152452196887,"Acid"
"95","pentadecanone",0.000816386207350211,1727,1224.91045414125,"Ketone"
"96","perylene",0.00279856330521962,2965,357.32620310389,"Arom"
"97","phthalic acid",0.00242721874725824,1714,411.994181047584,"Acid"
"98","phthalimide",0.0198497593686502,1592,50.3784444651433,"Misc"
"99","pinic acid 1",0.00172315509235727,1692,580.330815511215,"Acid"
"100","pinic acid 2",0.00269682846661134,1697,370.805934593435,"Acid"
"101","pinonic acid",0.00940182667349514,1549,106.362309658305,"Acid"
"102","pyrene",0.000150166180044967,2170,6659.28906029673,"Arom"
"103","Pyrocatechoic acid",0.000158160792134172,1846,6322.6795118203,"Cat"
"104","Quinoline",0.0333378110853385,1256,29.9959705644798,"Arom"
"105","resorcinol",0.0113284093410681,1398,88.2736463604622,"Cat"
"106","sinapinaldehyde",0.000817176005019688,2033,1223.72658259331,"Aldehyde"
