"","BlobID","Compound.Name","Library.Name","Compound.Name_ES","Library.Match.Factor_ES","Library.Reverse.Match.Factor_ES","LRI.I","Library.RI_ES","Compound.Name_NISTmain","Library.Match.Factor_NISTmain","Library.Reverse.Match.Factor_NISTmain","Library.RI_NISTmain","Library.Formula_NISTmain","Formula_Underivitized_forMod","Cstar_Cat","Library.Molecular.Weight_NISTmain","Model_Quant","Model_Properties","Notes","under_1500","slope.i.q.p","Quant_Factor_RFpred","Quant_Factor_final","slope.avg"
"1",936,"20200803_1535_blob_936_","caice_ssa_final_0803_1535","d-C10 acid, TMS",150,277,1475.706215,1467,"Ethanone, 1,1'-(1,4-phenylene)bis-",921,924,1461,"C10H10O2","C10H10O2",NA,162,TRUE,FALSE,NA,TRUE,3.57340612557582,0.00705228262845739,0.00705228262845739,NA
"2",654,"20200803_1535_blob_654_","caice_ssa_final_0803_1535","dimethyl Glutaric Acid, TMS",308,308,1455.367232,1456,"Ethanone, 1,1'-(1,4-phenylene)bis-",923,925,1461,"C10H10O2","C10H10O2",NA,162,TRUE,FALSE,NA,TRUE,3.61252386094874,0.00863672311875354,0.00863672311875354,NA
"3",1827,"20200803_0949_blob_1827_","caice_ssa_final_0805_0949","benzophenone",0,449,1497.727273,1662,"1H-Isoindole-1,3(2H)-dione, N-ethyl-",817,865,NA,"C10H9NO2","C10H9NO2",NA,175,TRUE,FALSE,"kovats cant be cofnirmed, but in the right ballpark",TRUE,1.0689126678402,0.0187090532312763,0.0187090532312763,NA
"4",687,"20200803_1535_blob_687_","caice_ssa_final_0803_1535","C7 acid",242,248,1470.056497,NA,"Quinoline, 2,4-dimethyl-",915,915,1454,"C11H11N","C11H11N",NA,157,TRUE,FALSE,NA,TRUE,0.999504839274982,0.0267541045206035,0.0267541045206035,NA
"5",876,"20200803_1535_blob_876_","caice_ssa_final_0803_1535","Sugar 3",277,281,1616.455696,1618,"Benzothiazole, 2-butyl-",886,886,NA,"C11H13NS","C11H13NS",NA,191,TRUE,FALSE,NA,FALSE,0.816284663645561,0.0070427108578179,0.0070427108578179,NA
"6",43,"20200803_1535_blob_43_","caice_ssa_final_0803_1535","vanillin",249,249,1554.80226,1557,"Benzothiazole, 2-butyl-",866,866,NA,"C11H13NS","C11H13NS",NA,191,TRUE,FALSE,"Note- only one of the butyl BTZs is correct, check which one",FALSE,0.950348441070641,0.0115569696548659,0.0115569696548659,NA
"7",703,"20200803_1535_blob_703_","caice_ssa_final_0803_1535","C7 acid",266,314,1500.564972,NA,"Ethanone, 1-[4-(1-hydroxy-1-methylethyl)phenyl]-",759,847,1432,"C11H14O2","C11H14O2",NA,178,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,1.60267897082022,0.0121117619798025,0.0121117619798025,NA
"8",1138,"20200803_0949_blob_1138_","caice_ssa_final_0805_0949","benzophenone",109,443,1653.164557,1662,"Diphenylamine",784,878,1621,"C12H11N","C12H11N",NA,169,TRUE,FALSE,NA,FALSE,0.590824388833012,0.00661800811951661,0.00661800811951661,NA
"9",651,"20200803_1535_blob_651_","caice_ssa_final_0803_1535","C7 acid",254,290,1654.43038,NA,"Quinoline, 2,3,4-trimethyl-",887,927,1616,"C12H13N","C12H13N",NA,171,TRUE,FALSE,NA,FALSE,1.35623872597597,0.00284496743498023,0.00284496743498023,NA
"10",1393,"20200803_0949_blob_1393_","caice_ssa_final_0805_0949","pinonic acid",104,390,1537.5,1549,"Quinoline, 2,4,6-trimethyl-",814,832,1532,"C12H13N","C12H13N",NA,171,TRUE,FALSE,NA,FALSE,1.08085121882581,0.0121859901126953,0.0121859901126953,NA
"11",843,"20200803_1535_blob_843_","caice_ssa_final_0803_1535","C7 acid",279,296,1643.037975,NA,"N-n-Butylphthalimide",832,840,NA,"C12H13NO2","C12H13NO2",NA,203,TRUE,FALSE,"retention index could not be confirmed, but based on chem formula position is not unreasonable",FALSE,0.73917214263631,0.00588326302625738,0.00588326302625738,NA
"12",741,"20200803_1535_blob_741_","caice_ssa_final_0803_1535","20200803_1919_blob_579",373,760,1612.658228,1614,"Diethyl Phthalate",847,908,1594,"C12H14O4","C12H14O4",NA,222,TRUE,FALSE,NA,FALSE,1.17152494185485,0.00510677542871155,0.00510677542871155,NA
"13",398,"20200803_1535_blob_398_","caice_ssa_final_0803_1535","pinonic acid",271,311,1555.932203,1549,"2-Butenedioic acid, dibutyl ester",904,912,NA,"C12H20O4","C12H20O4",NA,228,TRUE,FALSE,NA,FALSE,0.661436852756181,0.0164091394953579,0.0164091394953579,NA
"14",1421,"20200803_1535_blob_1421_","caice_ssa_final_0803_1535","gamma dodecalactone",834,864,1707.594937,1708,"t-Dodecalactone",812,860,1678,"C12H22O2","C12H22O2",NA,198,FALSE,FALSE,NA,FALSE,3.11074927266303,0.00070976267696207,0.000638703686040878,0.000638703686040878
"15",549,"20200803_1535_blob_549_","caice_ssa_final_0803_1535","benzophenone",0,466,1893.055556,1662,"Oxalic acid, 2-phenylethyl propyl ester",866,888,NA,"C13H16O4","C13H16O4",NA,236,TRUE,FALSE,"Note- no RI attached",FALSE,1.53715121862148,0.000277456728841909,0.000277456728841909,NA
"16",2000,"20200803_0949_blob_2000_","caice_ssa_final_0805_0949","triacetin",0,474,1511.363636,1351,"3-Buten-2-one, 4-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]hept-1-yl)-",753,813,1473,"C13H20O2","C13H20O2",NA,208,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,0.774895566530945,0.0223649425985912,0.0223649425985912,NA
"17",1540,"20200803_1535_blob_1540_","caice_ssa_final_0803_1535","nonanenitrile",0,646,1677.21519,1202,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",776,857,1649,"C13H22O3","C13H22O3",NA,226,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,1.90911386852437,0.00159103882271603,0.00159103882271603,NA
"18",849,"20200803_1535_blob_849_","caice_ssa_final_0803_1535","C9 Diacid (azelaic acid)",159,440,1831.944444,1822,"Phenanthridine",834,893,1832,"C13H9N","C13H9N",NA,179,TRUE,FALSE,NA,FALSE,1.55101996597716,0.000385758565825516,0.000385758565825516,NA
"19",170,"20200803_1535_blob_170_","caice_ssa_final_0803_1535","Benzothiazole, 2-phenyl-",947,947,2022.900763,2024,"Benzothiazole, 2-phenyl-",932,941,NA,"C13H9NS","C13H9NS",NA,211,FALSE,FALSE,NA,FALSE,1.15629955383975,0.000446412504346057,0.000454912345516692,0.000454912345516692
"20",766,"20200803_0949_blob_766_","caice_ssa_final_0805_0949","sinapinaldehyde",137,379,2044.615385,2033,"2-o-Tolylbenzothiazole",758,804,NA,"C14H11NS","C14H11NS",NA,225,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,1.60001721715344,0.000333077232638765,0.000333077232638765,NA
"21",934,"20200803_1535_blob_934_","caice_ssa_final_0803_1535","20200803_1919_blob_574",79,384,2041.221374,2053,"2,6-Dimethyldibenzothiophene",808,903,NA,"C14H12S","C14H12S",NA,212,TRUE,FALSE,"RI hard to cofnirm but from http://www.chemspider.com/Chemical-Structure.1064783.html appears ok",FALSE,1.3662803547859,0.000388117298174995,0.000388117298174995,NA
"22",818,"20200803_1535_blob_818_","caice_ssa_final_0803_1535","bisabolol",369,374,1768.35443,1771,"Diallyl phthalate",749,860,1712,"C14H14O4","C14H14O4",NA,246,TRUE,FALSE,"match factor not amazing, but seems close enough",FALSE,2.04204558498488,0.000571273201973785,0.000571273201973785,NA
