"","Compound.Name","File_num","LRI_avg","RI2"
"1","4-methoxy-benzaldehyde","20200730_2327_10",1267.58676530705,0.915775679011687
"2","4-methoxy-benzaldehyde","20200731_0304_5",1267.65659307453,0.906292671590577
"3","4-methoxy-benzaldehyde","20200731_0453_.5",1267.7520892829,0.999600035820455
"4","4-methoxy-benzaldehyde","20200731_0641_2.5",1267.6576359539,1.00873947321085
"5","4-methoxy-benzaldehyde","20200731_0830_1",1267.45540665102,1.00660669144831
"6","4-methoxy-benzaldehyde","20200806_2240_10",1268.47623680138,0.987414314963818
"7","4-methoxy-benzaldehyde","20200807_0218_5",1268.49098567666,0.987583775623708
"8","4-methoxy-benzaldehyde","20200807_0406_.5",1268.49902131815,0.987676103010236
"9","4-methoxy-benzaldehyde","20200807_0555_2.5",1268.51497044628,0.987859354256456
"10","4-methoxy-benzaldehyde","20200807_0744_1",1268.44373005631,0.987040821096387
"11","chrysene-d","20200730_2327_10",2520.72072072072,0.711046196624222
"12","chrysene-d","20200731_0304_5",2519.64285714286,0.721910559658814
"13","chrysene-d","20200731_0453_.5",2520,0.80479319239662
"14","chrysene-d","20200731_0641_2.5",2520.72072072072,0.803868376056469
"15","chrysene-d","20200731_0830_1",2519.64285714286,0.803815650868764
"16","chrysene-d","20200806_2240_10",2520,0.780907477578806
"17","chrysene-d","20200807_0218_5",2520,0.781047466819585
"18","chrysene-d","20200807_0406_.5",2520,0.781123737269325
"19","chrysene-d","20200807_0555_2.5",2520,0.781275118733594
"20","chrysene-d","20200807_0744_1",2520,0.78059893916658
"21","d-anthraquinone","20200730_2327_10",2010.60606060606,0.844120360176074
"22","d-anthraquinone","20200731_0304_5",2010.60606060606,0.855075418276199
"23","d-anthraquinone","20200731_0453_.5",2010.68702290076,0.958588068783858
"24","d-anthraquinone","20200731_0641_2.5",2010.68702290076,0.947278144064536
"25","d-anthraquinone","20200731_0830_1",2010.52631578947,0.955908931303425
"26","d-anthraquinone","20200806_2240_10",2012.21374045802,0.904811580009813
"27","d-anthraquinone","20200807_0218_5",2010.68702290076,0.925622882982472
"28","d-anthraquinone","20200807_0406_.5",2010.76923076923,0.925710393287963
"29","d-anthraquinone","20200807_0555_2.5",2010.76923076923,0.925884083599598
"30","d-anthraquinone","20200807_0744_1",2010.76923076923,0.925108256517445
"31","d-C10 acid, TMS","20200730_2327_10",1464.77272727273,0.168513068297438
"32","d-C10 acid, TMS","20200731_0304_5",1465.53672316384,0.179007674526401
"33","d-C10 acid, TMS","20200731_0453_.5",1466.29213483146,0.261384629161713
"34","d-C10 acid, TMS","20200731_0641_2.5",1464,0.260959968597358
"35","d-C10 acid, TMS","20200731_0830_1",1465.9217877095,0.276558945361938
"36","d-C10 acid, TMS","20200806_2240_10",1465.90909090909,0.264640384116277
"37","d-C10 acid, TMS","20200807_0218_5",1465.14285714286,0.264706694809277
"38","d-C10 acid, TMS","20200807_0406_.5",1466.66666666667,0.264742822917049
"39","d-C10 acid, TMS","20200807_0555_2.5",1464.36781609195,0.264814529926439
"40","d-C10 acid, TMS","20200807_0744_1",1465.14285714286,0.264494234342064
"41","d-C15 alcohol, TMS","20200730_2327_10",1869.44444444444,0.0252024306262121
"42","d-C15 alcohol, TMS","20200731_0304_5",1869.93006993007,0.0253559145832657
"43","d-C15 alcohol, TMS","20200731_0453_.5",1869.93006993007,0.117842744533625
"44","d-C15 alcohol, TMS","20200731_0641_2.5",1869.44444444444,0.117550200589291
"45","d-C15 alcohol, TMS","20200731_0830_1",1870.11494252874,0.124465664927277
"46","d-C15 alcohol, TMS","20200806_2240_10",1869.01408450704,0.120085597946768
"47","d-C15 alcohol, TMS","20200807_0218_5",1869.01408450704,0.109804463206185
"48","d-C15 alcohol, TMS","20200807_0406_.5",1869.01408450704,0.109828548611366
"49","d-C15 alcohol, TMS","20200807_0555_2.5",1869.93006993007,0.109876353284293
"50","d-C15 alcohol, TMS","20200807_0744_1",1869.46386946387,0.150951199280671
"51","d-C22 acid, TMS","20200730_2327_10",2648.07692307692,0.188986016536185
"52","d-C22 acid, TMS","20200731_0304_5",2646.60194174757,0.189251125189277
"53","d-C22 acid, TMS","20200731_0453_.5",2648.07692307692,0.261384629161713
"54","d-C22 acid, TMS","20200731_0641_2.5",2648.07692307692,0.281447078312796
"55","d-C22 acid, TMS","20200731_0830_1",2647.61904761905,0.266419393332961
"56","d-C22 acid, TMS","20200806_2240_10",2648.54368932039,0.264640384116277
"57","d-C22 acid, TMS","20200807_0218_5",2648.54368932039,0.275033510249483
"58","d-C22 acid, TMS","20200807_0406_.5",2646.60194174757,0.254415204630003
"59","d-C22 acid, TMS","20200807_0555_2.5",2646.60194174757,0.254485318150296
"60","d-C22 acid, TMS","20200807_0744_1",2648.54368932039,0.254172140245574
"61","d-cholestane","20200730_2327_10",2912.5,0.281114283610544
"62","d-cholestane","20200731_0304_5",2912.5,0.281442181155159
"63","d-cholestane","20200731_0453_.5",2912.5,0.374167538512354
"64","d-cholestane","20200731_0641_2.5",2912.5,0.373639072032268
"65","d-cholestane","20200731_0830_1",2913.40206185567,0.367814913622735
"66","d-cholestane","20200806_2240_10",2912.63157894737,0.367893802808783
"67","d-cholestane","20200807_0218_5",2912.5,0.367974849211339
"68","d-cholestane","20200807_0406_.5",2912.5,0.357691387500459
"69","d-cholestane","20200807_0555_2.5",2912.5,0.357777435911727
"70","d-cholestane","20200807_0744_1",2913.68421052632,0.367715175306967
"71","d-cholesterol","20200730_2327_10",3200,0.291350757729917
"72","d-cholesterol","20200731_0304_5",3202.35294117647,0.30192908248091
"73","d-cholesterol","20200731_0453_.5",3200,0.394673522030653
"74","d-cholesterol","20200731_0641_2.5",3202.35294117647,0.383882626889987
"75","d-cholesterol","20200731_0830_1",3200,0.38809401768069
"76","d-cholesterol","20200806_2240_10",3200,0.378219144678033
"77","d-cholesterol","20200807_0218_5",3202.38095238095,0.367974849211339
"78","d-cholesterol","20200807_0406_.5",3202.38095238095,0.368019005787504
"79","d-cholesterol","20200807_0555_2.5",3202.38095238095,0.36810664768787
"80","d-cholesterol","20200807_0744_1",3200,0.367715175306967
"81","d-pyrene","20200730_2327_10",2163.63636363636,0.659863826027355
"82","d-pyrene","20200731_0304_5",2165.15151515152,0.66044985568156
"83","d-pyrene","20200731_0453_.5",2164.88549618321,0.743275241841725
"84","d-pyrene","20200731_0641_2.5",2164.88549618321,0.742407046910155
"85","d-pyrene","20200731_0830_1",2163.90977443609,0.763257442752854
"86","d-pyrene","20200806_2240_10",2164.88549618321,0.729280768232553
"87","d-pyrene","20200807_0218_5",2164.88549618321,0.73974020505876
"88","d-pyrene","20200807_0406_.5",2166.15384615385,0.739813264121143
"89","d-pyrene","20200807_0555_2.5",2164.61538461538,0.739958271629022
"90","d-pyrene","20200807_0744_1",2166.15384615385,0.728988468684129
"91","dC16","20200730_2327_10",1600,0.0259799399706543
"92","dC16","20200731_0304_5",1600,0.0258613387311128
"93","dC16","20200731_0453_.5",1600,0.0665777857378788
"94","dC16","20200731_0641_2.5",1600,0.0663324263006959
"95","dC16","20200731_0830_1",1600,0.0737679047823901
"96","dC16","20200806_2240_10",1600,0.078784230469766
"97","dC16","20200807_0218_5",1600,0.0788240168855663
"98","dC16","20200807_0406_.5",1600,0.0788456937502293
"99","dC16","20200807_0555_2.5",1600,0.0685595061797206
"100","dC16","20200807_0744_1",1600,0.0786965406052386
"101","dC18","20200730_2327_10",1800,0.00550699173190775
"102","dC18","20200731_0304_5",1800,0.00537443740536139
"103","dC18","20200731_0453_.5",1800,0.0973367610153264
"104","dC18","20200731_0641_2.5",1800.69444444444,0.086819536016134
"105","dC18","20200731_0830_1",1800,0.0940470088403449
"106","dC18","20200806_2240_10",1800,0.0891095723390166
"107","dC18","20200807_0218_5",1800,0.0891508323257725
"108","dC18","20200807_0406_.5",1800,0.0891733120372749
"109","dC18","20200807_0555_2.5",1800,0.0892179297320068
"110","dC18","20200807_0744_1",1800,0.0890186347017289
"111","dC20","20200730_2327_10",2000,0.0149659565068388
"112","dC20","20200731_0304_5",2000,0.01511246392039
"113","dC20","20200731_0453_.5",2000,0.107589752774476
"114","dC20","20200731_0641_2.5",2000,0.107306645731572
"115","dC20","20200731_0830_1",2000,0.104186560869322
"116","dC20","20200806_2240_10",2000,0.0994349142082672
"117","dC20","20200807_0218_5",2000,0.0994776477659786
"118","dC20","20200807_0406_.5",2000,0.0995009303243204
"119","dC20","20200807_0555_2.5",2000,0.109876353284293
"120","dC20","20200807_0744_1",2000,0.0993407287982192
"121","dC22","20200730_2327_10",2200,0.0252024306262121
"122","dC22","20200731_0304_5",2200,0.0253559145832657
"123","dC22","20200731_0453_.5",2201.37741046832,0.117842744533625
"124","dC22","20200731_0641_2.5",2201.02564102564,0.117550200589291
"125","dC22","20200731_0830_1",2200,0.1143261128983
"126","dC22","20200806_2240_10",2200,0.109760256077518
"127","dC22","20200807_0218_5",2200,0.109804463206185
"128","dC22","20200807_0406_.5",2201.48148148148,0.109828548611366
"129","dC22","20200807_0555_2.5",2200,0.109876353284293
"130","dC22","20200807_0744_1",2201.5,0.10966282289471
"131","dC24","20200730_2327_10",2400,0.0354389047455854
"132","dC24","20200731_0304_5",2401.5625,0.0355993652461415
"133","dC24","20200731_0453_.5",2400,0.117842744533625
"134","dC24","20200731_0641_2.5",2401.8018018018,0.0156160125610567
"135","dC24","20200731_0830_1",2401.65816326531,0.134605216956255
"136","dC24","20200806_2240_10",2400,0.120085597946768
"137","dC24","20200807_0218_5",2400,0.130458094086597
"138","dC24","20200807_0406_.5",2400,0.120156166898411
"139","dC24","20200807_0555_2.5",2400,0.120205565060436
"140","dC24","20200807_0744_1",2400,0.1199849169912
"141","dC26","20200730_2327_10",2600,0.0456753788649586
"142","dC26","20200731_0304_5",2600,0.0560862665718929
"143","dC26","20200731_0453_.5",2601.73076923077,0.138348728051923
"144","dC26","20200731_0641_2.5",2601.7094017094,0.138037310304729
"145","dC26","20200731_0830_1",2601.78571428571,0.144744768985232
"146","dC26","20200806_2240_10",2600,0.14073628168527
"147","dC26","20200807_0218_5",2600,0.140784909526803
"148","dC26","20200807_0406_.5",2600,0.140811403472503
"149","dC26","20200807_0555_2.5",2600,0.140863988612722
"150","dC26","20200807_0744_1",2601.29449838188,0.13030701108769
"151","dC28","20200730_2327_10",2800,0.0661483271037052
"152","dC28","20200731_0304_5",2800,0.0765731678976443
"153","dC28","20200731_0453_.5",2800,0.158854711570222
"154","dC28","20200731_0641_2.5",2800,0.158524420020167
"155","dC28","20200731_0830_1",2800,0.165023873043187
"156","dC28","20200806_2240_10",2800,0.15106162355452
"157","dC28","20200807_0218_5",2800,0.151111724967009
"158","dC28","20200807_0406_.5",2800,0.151139021759548
"159","dC28","20200807_0555_2.5",2800,0.151193200388865
"160","dC28","20200807_0744_1",2800,0.150951199280671
"161","dC30","20200730_2327_10",3001.75824175824,0.0866212753424518
"162","dC30","20200731_0304_5",3001.11111111111,0.08681661856052
"163","dC30","20200731_0453_.5",3000,0.169107703329371
"164","dC30","20200731_0641_2.5",3001.11111111111,0.179011529735606
"165","dC30","20200731_0830_1",3001.73913043478,0.175163425072164
"166","dC30","20200806_2240_10",3000,0.171712307293021
"167","dC30","20200807_0218_5",3000,0.161438540407216
"168","dC30","20200807_0406_.5",3000,0.161466640046594
"169","dC30","20200807_0555_2.5",3000,0.171851623941152
"170","dC30","20200807_0744_1",3001.11111111111,0.161273293377161
"171","dC32","20200730_2327_10",3200,0.107094223581198
