"","Compound.Name","LRI_avg_all","RI2_all"
"1","4-methoxy-benzaldehyde",1268.05334345682,0.977458892003249
"2","chrysene-d",2520.07271557272,0.775038671517278
"3","d-anthraquinone",2010.83209384696,0.916810811900138
"4","d-C10 acid, TMS",1465.3752660931,0.246982295205596
"5","d-C15 alcohol, TMS",1869.53001641928,0.101096311758895
"6","d-C22 acid, TMS",2647.72867100537,0.249023479992457
"7","d-cholestane",2912.72178513294,0.349723063967234
"8","d-cholesterol",3201.18487394958,0.360996482948387
"9","d-pyrene",2164.91627148799,0.724703439093926
"10","dC16",1600,0.0642229383413253
"11","dC18",1800.06944444444,0.0734755016144874
"12","dC20",2000,0.0856791954183677
"13","dC22",2200.53845329754,0.0949209847304765
"14","dC24",2400.50224650671,0.0949992585026076
"15","dC26",2600.65203836078,0.121639604716372
"16","dC28",2800,0.138058126958554
"17","dC30",3000.68307055264,0.152446295710526
"18","dC32",3200,0.178132623851158
"19","dC34",3400,0.195602959040443
"20","dC36",3600,0.267525619683043
"21","dibenzanthracene-d",3266.66666666667,0.970241202481371
"22","pentaerythritol-C13",1525.87800217368,0.0745160447938011
"23","perylene-d",2955.36966449629,0.915804512302543
