"","Compound.Name","LRI_avg_all","RI2_all","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1268.05334345682,0.977458892003249,5.17015181836837,2.76556558189901
"2","chrysene-d",2520.07271557272,0.775038671517278,10.2749293632397,2.19284953272673
"3","d-anthraquinone",2010.83209384696,0.916810811900138,8.19863553854536,2.59397141634012
"4","d-C10 acid, TMS",1465.3752660931,0.246982295205596,5.97467972122519,0.69879740268069
"5","d-C15 alcohol, TMS",1869.53001641928,0.101096311758895,7.62251372448951,0.286036049745613
"6","d-C22 acid, TMS",2647.72867100537,0.249023479992457,10.7954127273753,0.704572612706423
"7","d-cholestane",2912.72178513294,0.349723063967234,11.8758519990599,0.989486183835168
"8","d-cholesterol",3201.18487394958,0.360996482948387,13.0519838793733,1.02138254262803
"9","d-pyrene",2164.91627148799,0.724703439093926,8.82687298243779,2.05043394114966
"10","dC16",1600,0.0642229383413253,6.52357643475674,0.181708662428947
"11","dC18",1800.06944444444,0.0734755016144874,7.33930663043965,0.207887329114518
"12","dC20",2000,0.0856791954183677,8.15447054344593,0.242415753616214
"13","dC22",2200.53845329754,0.0949209847304765,8.97211299856744,0.268563937080327
"14","dC24",2400.50224650671,0.0949992585026076,9.78741242930737,0.268785400358162
"15","dC26",2600.65203836078,0.121639604716372,10.6034702202828,0.344160053125059
"16","dC28",2800,0.138058126958554,11.4162587608243,0.390613669118631
"17","dC30",3000.68307055264,0.152446295710526,12.2344908545192,0.431322720529946
"18","dC32",3200,0.178132623851158,13.0471528695135,0.503998129810342
"19","dC34",3400,0.195602959040443,13.8625999238581,0.55342768444328
"20","dC36",3600,0.267525619683043,14.6780469782027,0.756921495240915
"21","dibenzanthracene-d",3266.66666666667,0.970241202481371,13.318968554295,2.7451442691606
"22","pentaerythritol-C13",1525.87800217368,0.0745160447938011,6.2213636108087,0.210831381725561
"23","perylene-d",2955.36966449629,0.915804512302543,12.0497374370643,2.59112425053606
