,cpnd,dates,slope,r2,d_alkane_RTI
1,xanthone,7/31/2020,0.000789859,0.981713613,1905
2,vanillin,7/31/2020,0.003433318,0.987055398,1557
3,vanillic acid,7/31/2020,0.000323824,0.986160017,1789
4,tridecanal,7/31/2020,0.023007638,0.970349402,1537
5,Tricarballylic acid,7/31/2020,0.000290615,0.988168044,1757
6,triacetin,7/31/2020,0.009312325,0.922048962,1351
7,trans ferulic acid,7/31/2020,0.000296724,0.977961554,2124
8,threitol,7/31/2020,0.002205882,0.995116507,1521
9,"Tartaric acid, 4TMS",7/31/2020,0.000297158,0.94003898,1659
10,syringol,7/31/2020,0.005566661,0.973391524,1418
11,syringic acid,7/31/2020,0.000345438,0.942996729,1926
12,syringaldehyde,7/31/2020,0.00050349,0.978461047,1725
13,stigmasterol,7/31/2020,0.001407308,0.994384267,3346
14,squalene,7/31/2020,0.001856467,0.928486525,2867
15,sinapinaldehyde,7/31/2020,0.000971356,0.988945307,2033
16,resorcinol,7/31/2020,0.001537626,0.966079604,1398
17,Quinoline,7/31/2020,0.003731445,0.985389417,1256
18,Pyrocatechoic acid,7/31/2020,0.000162787,0.990393155,1846
19,pyrene,7/31/2020,0.000154653,0.978981704,2170
20,pinonic acid,7/31/2020,0.008967177,0.990043466,1549
21,pinic acid 2,7/31/2020,0.001367336,0.972847207,1697
22,pinic acid 1,7/31/2020,0.001300922,0.980924374,1692
23,phthalimide,7/31/2020,0.002908175,0.9746929,1592
24,phthalic acid,7/31/2020,0.002035196,0.972141731,1714
25,perylene,7/31/2020,0.000414271,0.89659804,2965
26,pentadecanone,7/31/2020,0.000858966,0.998001102,1727
27,p-anisic acid (4-methozybenzoic acid),7/31/2020,0.004021467,0.99816627,1544
28,"oleic Acid, TMS",7/31/2020,0.000469071,0.978333699,2252
29,octadecanone,7/31/2020,0.000495837,0.979511905,2032
30,octadecanol,7/31/2020,0.000165277,0.995809911,2189
31,monostearin,7/31/2020,0.001195402,0.998816104,2827
32,monopalmitin,7/31/2020,0.001101297,0.999161541,2629
33,Me-OH-glutatric acid,7/31/2020,0.005019682,0.984727651,1623
34,MBTCA,7/31/2020,0.000321499,0.965001739,1776
35,mannosan,7/31/2020,0.002128783,0.992178098,1706
36,maltol,7/31/2020,0.026731222,0.953590222,1287
37,"Malic acid, 3TMS derivative",7/31/2020,0.007702429,0.958706143,1510
38,"linoleic Acid, TMS",7/31/2020,0.001112014,0.970634361,2245
39,levoglucosan,7/31/2020,0.001502133,0.987215591,1727
40,ketopinic acid,7/31/2020,0.003788511,0.988300321,1529
41,isopimaric acid,7/31/2020,0.00046017,0.973045376,2383
42,ionone,7/31/2020,0.021758657,0.965327272,1447
43,hydroquinone,7/31/2020,0.001005735,0.924692634,1419
44,"homosalate, TMS",7/31/2020,0.000261981,0.985758072,2055
45,Hexadecanol,7/31/2020,0.000395746,0.996143029,1992
46,hexadecanamide,7/31/2020,0.001613985,0.928695129,2212
47,gamma dodecalactone,7/31/2020,0.000598278,0.984400504,1708
48,galactosan,7/31/2020,0.003540855,0.94490197,1684
49,Farnesol,7/31/2020,0.004187849,0.933400987,1804
50,FAME18 (Methyl Stearate),7/31/2020,0.000452816,0.961078767,2161
51,FAME16 (Methyl Palmitate),7/31/2020,0.000427545,0.987581528,1958
52,erythreitol,7/31/2020,0.00181541,0.997085033,1529
