"","Compound.Name","LRI_avg_all","RI2_all","relative_LRI","relative_LRI2"
"1","4-methoxy-benzaldehyde",1268.05334345682,0.677458892003249,5.34279051930327,2.63860259874287
"2","chrysene-d",2520.07271557272,0.475038671517278,10.6180238254111,1.85020565522792
"3","d-anthraquinone",2010.83209384696,0.616810811900138,8.47239960554714,2.40238725983775
"4","d-C10 acid, TMS",1465.3752660931,0.0530177047944044,6.17418274972618,0.206496150985981
"5","d-C15 alcohol, TMS",1869.39079931455,0.198903688241105,7.87645369257342,0.774700568385195
"6","d-C22 acid, TMS",2647.72867100537,0.0509765200075434,11.1558868671653,0.198546036895368
"7","d-C6diacid",1524.51683212225,0.204857904157756,6.42336863761315,0.797891362360452
"8","d-cholestane",2912.72178513294,0.057211771014093,12.2724035382872,0.222831421151003
"9","d-cholesterol",3201.18487394958,0.0627263314024037,13.4878081299403,0.24430982160198
"10","d-pyrene",2164.91627148799,0.424703439093926,9.12161478858581,1.65415733901518
"11","dC14",1400,0.278760525685069,5.8987319150421,1.08573118779881
"12","dC16",1600,0.246145317399028,6.74140790290526,0.958699755548194
"13","dC18",1800,0.228700784212966,7.58408389076842,0.890755868263033
"14","dC20",2000,0.212425551263591,8.42675987863157,0.82736623316889
"15","dC22",2200.53845329754,0.180949192784666,9.27170457481686,0.704770453171281
"16","dC24",2400.50224650671,0.193782967208797,10.1142280097139,0.754756114215687
"17","dC26",2600.6503376805,0.17125924215204,10.9575279619579,0.667029522728505
"18","dC28",2800,0.161941873041446,11.7974638300842,0.630739742435027
"19","dC30",3000.40255879386,0.147553704289474,12.6418359510938,0.574699944436596
"20","dC32",3200,0.121867376148841,13.4828158058105,0.474655479770079
"21","dC34",3400,0.104397040959557,14.3254917936737,0.406611097482843
"22","dC36",3600,0.0324743803169571,15.1681677815368,0.126482928054145
"23","dibenzanthracene-d",3266.66666666667,0.670241202481371,13.7637078017649,2.61049076117731
"24","pentaerythritol-C13",1525.87800217368,0.227660241033653,6.42910376420183,0.886703105845342
"25","perylene-d",2955.35578637315,0.618862836062803,12.4520367838455,2.41037959170055
