"","cpnd","dates","slope","r2","d_alkane_RTI"
"1","xanthone",2020-07-31,0.000728505032977014,0.96752384907121,1905
"2","vanillin",2020-07-31,0.00556231738557005,0.999629552862334,1557
"3","vanillic acid",2020-07-31,0.000304556449085146,0.987427057634359,1789
"4","tridecanal",2020-07-31,0.0800265408844467,0.897722665988013,1537
"5","Tricarballylic acid",2020-07-31,0.000339239866782991,0.98689430039344,1757
"6","triacetin",2020-07-31,0.0135307240891772,0.984846046531441,1351
"7","trans ferulic acid",2020-07-31,0.00033024819982152,0.986323266662875,2124
"8","threitol",2020-07-31,0.0192162546844838,0.984485164850441,1521
"9","Tartaric acid, 4TMS",2020-07-31,0.00345205155393763,0.876051194352549,1659
"10","syringol",2020-07-31,0.052005921930908,0.94333745740122,1418
"11","syringic acid",2020-07-31,0.000349171656160994,0.94824619400739,1926
"12","syringaldehyde",2020-07-31,0.00037966706269434,0.979700038813855,1725
"13","stigmasterol",2020-07-31,0.0034294969639275,0.996073950522194,3346
"14","squalene",2020-07-31,0.00176884404564595,0.898788263441059,2867
"15","sinapinaldehyde",2020-07-31,0.000728360506371332,0.988279613507323,2033
"16","resorcinol",2020-07-31,0.0131921385360877,0.951093255037928,1398
"17","Quinoline",2020-07-31,0.041741391726285,0.988815523461887,1256
"18","Pyrocatechoic acid",2020-07-31,0.000163620464499211,0.991914556808655,1846
"19","pyrene",2020-07-31,0.000162750091248686,0.994888293813406,2170
"20","pinonic acid",2020-07-31,0.0081836468527777,0.982582191338749,1549
"21","pinic acid 2",2020-07-31,0.00296819225859083,0.967143939521292,1697
"22","pinic acid 1",2020-07-31,0.00165933032567021,0.96764474439656,1692
"23","phthalimide",2020-07-31,0.0207454129099728,0.945430118338921,1592
"24","phthalic acid",2020-07-31,0.00222837200843701,0.965588440036828,1714
"25","perylene",2020-07-31,0.00313646664092439,0.964848011533317,2965
"26","pentadecanone",2020-07-31,0.000994805836957244,0.99021156156134,1727
"27","p-anisic acid (4-methozybenzoic acid)",2020-07-31,0.0304121553237742,0.982191568047155,1544
"28","oleic Acid, TMS",2020-07-31,0.000492802008153615,0.9782691786533,2252
"29","octadecanone",2020-07-31,0.000570188957868115,0.979430626760424,2032
"30","octadecanol",2020-07-31,0.000173562833583416,0.995381298217287,2189
"31","monostearin",2020-07-31,0.00295929961418818,0.99439551894271,2827
"32","monopalmitin",2020-07-31,0.00256566506776006,0.979058378674437,2629
"33","Me-OH-glutatric acid",2020-07-31,0.0330700306546659,0.996343327154744,1623
"34","MBTCA",2020-07-31,0.000302744367953976,0.967084437355596,1776
"35","mannosan",2020-07-31,0.0023616029604407,0.996467077348095,1706
"36","maltol",2020-07-31,0.516884586267431,0.984506208951591,1287
"37","Malic acid, 3TMS derivative",2020-07-31,0.0715260314509643,0.927909247836562,1510
"38","linoleic Acid, TMS",2020-07-31,0.0011683212302122,0.970624936277084,2245
"39","levoglucosan",2020-07-31,0.00141232822580093,0.988285588852687,1727
"40","ketopinic acid",2020-07-31,0.00612981810739701,0.995659989601988,1529
"41","isopimaric acid",2020-07-31,0.00143728536619776,0.994415870270234,2383
"42","ionone",2020-07-31,0.254768259069064,0.982815650302066,1447
"43","hydroquinone",2020-07-31,0.0184105878576541,0.908875896360778,1419
"44","homosalate, TMS",2020-07-31,0.000294987367790868,0.995480410332253,2055
"45","Hexadecanol",2020-07-31,0.000388667507595882,0.992919628987775,1992
"46","hexadecanamide",2020-07-31,0.00117627734283188,0.920935586729519,2212
"47","gamma dodecalactone",2020-07-31,0.000512490723029865,0.979165222053206,1708
"48","galactosan",2020-07-31,0.00483020550843058,0.975046480924839,1684
"49","Farnesol",2020-07-31,0.00463531884141812,0.933973085185823,1804
"50","FAME18 (Methyl Stearate)",2020-07-31,0.000475793737634846,0.961136326373404,2161
"51","FAME16 (Methyl Palmitate)",2020-07-31,0.000429554062336844,0.988846805307382,1958
"52","erythreitol",2020-07-31,0.0160817409434265,0.99682873857752,1529
"53","eicosanol, TMS",2020-07-31,0.000358431351988477,0.976263749703201,2392
"54","DPPA",2020-07-31,0.00113540656412255,0.908641906113039,1954
"55","dodecyl benzene",2020-07-31,0.000514842311133019,0.991333972804736,1920
"56","DL-B-hydroxymyristic acid",2020-07-31,0.00035144159377049,0.995858113919348,2058
"57","dimethyl Glutaric Acid, TMS",2020-07-31,0.0768814374011147,0.932558070260663,1456
"58","dibenz(ah)anthracene",2020-07-31,0.00573267220133037,0.996072379071932,3278
"59","Dehydroabietic acid",2020-07-31,0.000699671802041023,0.945338687516248,2430
"60","DEET",2020-07-31,0.00148266599130714,0.967918827099457,1599
"61","Citronellol, TMS",2020-07-31,0.367780811064144,0.967426223821629,1317
"62","cis-Vaccenic Acid, TMS",2020-07-31,0.000674991725708076,0.96687638466772,2258
"63","chrysene",2020-07-31,0.00132023651899987,0.995736796758565,2527
"64","cholesterol",2020-07-31,0.00139097330448058,0.990478247049706,3209
"65","Caffeic acid",2020-07-31,0.000404981487752364,0.971231120588299,2168
"66","C9 Diacid (azelaic acid)",2020-07-31,0.000308900354953517,0.986188959090697,1822
"67","C9 acid",2020-07-31,0.0387186445049149,0.928730830985751,1375
"68","C8 acid",2020-07-31,0.0644277515999097,0.944793272261224,1269
"69","C35",2020-07-31,0.00317220508454443,0.981758426811473,3565
"70","C34",2020-07-31,0.00273716973141449,0.982844564209774,3461
"71","C33",2020-07-31,0.00328318198451346,0.982175411828063,3362
"72","C32",2020-07-31,0.00303403670219057,0.975378305151665,3261
"73","C31",2020-07-31,0.00256975561605635,0.982145586187068,3160
"74","C30",2020-07-31,0.00120332789465001,0.974323199140554,3058
